id,tag,query,relevant_docs,title_1,title_2
0,Pengenalan FTMM,FTMM adalah,"[92, 75]",Sejarah FTMM.txt,Prestasi Mahasiswa.txt
1,Lokasi FTMM,Halo FTMM ada dimana?,"[92, 32]",Sejarah FTMM.txt,FTMM Overview.txt
2,Informasi Kontak,Apakah FTMM mempunyai akun media sosial?,[81],QnA.txt,
3,Sejarah FTMM,Berapa jumlah mahasiswa FTMM?,[92],Sejarah FTMM.txt,
4,Prodi FTMM,Apakah ada jurusan yang hanya ada satu di Indonesia?,"[93, 32]",Selayang Pandang FTMM.txt,FTMM Overview.txt
5,Kepimpinan FTMM,Siapa pimpinan FTMM saat ini?,"[73, 74]",Pimpinan FTMM.txt,ppu-pemira-gelar-pengambilan-no-urut-arsalan-no-1-devita-no-2.txt
6,Kontribusi FTMM,Karya apa saja yang sudah dihasilkan FTMM?,"[75, 48]",Prestasi Mahasiswa.txt,Karya FTMM.txt
7,Gelar Sarjana FTMM,Lulusan FTMM mendapatkan gelar apa?,"[104, 106]",teknik-industri-program-studi.txt,Teknologi Sains Data.txt
8,Identitas Bendera FTMM,Bendera FTMM berwarna apa?,"[42, 63]",identitas-ftmm.txt,Panduan-GrafisSimpleVer.pdf
9,Identitas Logo FTMM,Logo FTMM berwarna apa?,"[63, 42]",Panduan-GrafisSimpleVer.pdf,identitas-ftmm.txt
10,Visi FTMM,Apa visi dari FTMM?,"[85, 110]",Rencana Strategis Fakultas Teknologi Maju dan Multidisiplin.txt,Visi Misi.txt
11,Misi FTMM,Apa Misi dari FTMM?,"[85, 110]",Rencana Strategis Fakultas Teknologi Maju dan Multidisiplin.txt,Visi Misi.txt
12,Visi RN,Apa Visi dari program studi Rekayasa Nanoteknologi?,"[84, 83]",rekayasa-nanoteknologi-program-studi.txt,Rekayasa Nanoteknologi.txt
13,Misi RN,Apa Misi dari program studi Rekayasa Nanoteknologi?,"[83, 84]",Rekayasa Nanoteknologi.txt,rekayasa-nanoteknologi-program-studi.txt
14,Visi TE,Apa Visi dari program studi Teknik Elektro?,[103],teknik-elektro-program-studi.txt,
15,Misi TE,Apa Misi dari program studi Teknik Elektro?,"[103, 86]",teknik-elektro-program-studi.txt,Rencana Strategis.txt
16,Visi TI,Apa Visi dari program studi Teknik Industri?,"[104, 98]",teknik-industri-program-studi.txt,staf-dosen-prodi-teknik-industri.txt
17,Misi TI,Apa Misi dari program studi Teknik Industri?,"[104, 98]",teknik-industri-program-studi.txt,staf-dosen-prodi-teknik-industri.txt
18,Visi TRKB,Apa Visi dari program studi Teknik Robotika dan Kecerdasan Buatan,"[99, 91]",staf-dosen-prodi-teknik-robotika-dan-kecerdasan-buatan.txt,ROBOTICS AND MECHATRONICS.txt
