index,question,answer,response_openai,running_time_openai,score,counts,totals,precisions,bp,sys_len,ref_len,rouge1,rouge2,rougeL,rougeLsum
0,FTMM adalah,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.","FTMM adalah singkatan dari Fakultas Teknologi Maju dan Multidisiplin. FTMM didirikan pada bulan November 2019 dan merupakan bagian dari Universitas Airlangga. Fakultas ini memiliki 1 departemen dan 5 program studi S1, termasuk Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro. FTMM hadir untuk melengkapi 3 pilar utama Universitas Airlangga yaitu social science, life science, dan health science, dengan pilar baru di bidang keteknikan. Salah satu hal menarik dari FTMM adalah bahwa dua program studi di dalamnya, yaitu Teknik Robotika dan Kecerdasan Buatan serta Rekayasa Nanoteknologi, merupakan satu-satunya di Indonesia. Fasilitas pendidikan di FTMM terus ditingkatkan untuk memberikan yang terbaik kepada mahasiswa dan memberikan kesempatan kepada mereka untuk berkontribusi pada kemajuan teknologi.",12.349154233932495,20.86996471829056,"[40, 29, 24, 21]","[134, 133, 132, 131]","[29.85, 21.8, 18.18, 16.03]",1.0,134,51,0.4150943396226415,0.3057324840764331,0.36477987421383645,0.36477987421383645
1,Halo FTMM itu apa?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.","Halo! FTMM adalah singkatan dari Fakultas Teknologi Maju dan Multidisiplin. FTMM merupakan salah satu fakultas di Universitas Airlangga yang didirikan pada bulan November 2019. Fakultas ini memiliki 5 program studi S1, yaitu Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro. FTMM hadir untuk melengkapi 3 pilar utama Universitas Airlangga, yaitu social science, life science, dan health science, dengan pilar baru di bidang keteknikan (engineering). Jadi, FTMM merupakan fakultas yang fokus pada pengembangan teknologi maju dan multidisiplin.",9.238109588623047,28.133501971536543,"[42, 29, 24, 21]","[101, 100, 99, 98]","[41.58, 29.0, 24.24, 21.43]",1.0,101,51,0.5691056910569107,0.4462809917355372,0.4878048780487804,0.4878048780487804
2,Kapan FTMM didirikan?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.",FTMM didirikan pada bulan November 2019.,1.2340223789215088,0.0,"[6, 2, 0, 0]","[7, 6, 5, 4]","[85.71, 33.33, 0.0, 0.0]",0.0018627259759257083,7,51,0.21739130434782608,0.09090909090909091,0.21739130434782608,0.21739130434782608
3,Ada berapa program studi di FTMM?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.","Di FTMM, terdapat 5 program studi, yaitu:
1. Teknik Robotika dan Kecerdasan Buatan
2. Teknologi Sains Data
3. Rekayasa Nanoteknologi
4. Teknik Industri
5. Teknik Elektro",3.7171261310577393,13.097260581638858,"[22, 11, 5, 2]","[34, 33, 32, 31]","[64.71, 33.33, 15.62, 6.45]",0.6065306597126334,34,51,0.5454545454545455,0.34375,0.5454545454545455,0.5454545454545455
4,Apa saja program studi yang ada di FTMM?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.","Di FTMM, terdapat lima program studi yang dapat kamu pilih, yaitu:
1. Teknik Robotika dan Kecerdasan Buatan
2. Teknologi Sains Data
3. Rekayasa Nanoteknologi
4. Teknik Industri
5. Teknik Elektro

Semua program studi ini berada di bawah Departemen Teknik FTMM. Jadi, kamu bisa memilih salah satu program studi yang sesuai dengan minat dan passionmu!",5.177736759185791,10.636761986166425,"[26, 10, 4, 2]","[65, 64, 63, 62]","[40.0, 15.62, 6.35, 3.23]",1.0,65,51,0.4468085106382979,0.21739130434782608,0.3617021276595745,0.425531914893617
5,Sejak tahun berapa FTMM didirikan?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.",FTMM didirikan pada bulan November 2019.,1.1323316097259521,0.0,"[6, 2, 0, 0]","[7, 6, 5, 4]","[85.71, 33.33, 0.0, 0.0]",0.0018627259759257083,7,51,0.21739130434782608,0.09090909090909091,0.21739130434782608,0.21739130434782608
6,Halo FTMM ada dimana?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","Halo! Fakultas Teknologi Maju dan Multidisiplin (FTMM) berlokasi di Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Kota SBY, Jawa Timur. Jadi, FTMM berada di Universitas Airlangga, Surabaya, Jawa Timur. Ada lagi yang bisa saya bantu? 😊",4.6382246017456055,15.317509880955129,"[36, 25, 20, 17]","[55, 54, 53, 52]","[65.45, 46.3, 37.74, 32.69]",0.34835073256707944,55,113,0.3278688524590164,0.23333333333333336,0.29508196721311475,0.29508196721311475
7,FTMM di kampus mana?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","FTMM berlokasi di Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Kota SBY, Jawa Timur.",2.374472141265869,2.125527459815286,"[23, 18, 15, 13]","[25, 24, 23, 22]","[92.0, 75.0, 65.22, 59.09]",0.029599435167892013,25,113,0.25742574257425743,0.18181818181818185,0.2376237623762376,0.2376237623762376
8,Lokasi FTMM ada di mana?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","Lokasi FTMM berada di Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Kota SBY, Jawa Timur. Jadi, FTMM berada di Surabaya, Jawa Timur.",3.0100698471069336,6.346604280485316,"[28, 19, 16, 14]","[36, 35, 34, 33]","[77.78, 54.29, 47.06, 42.42]",0.1177856432784892,36,113,0.25688073394495414,0.16822429906542055,0.2201834862385321,0.2201834862385321
9,Apa itu GKB di FTMM?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","GKB di FTMM adalah singkatan dari Gedung Kuliah Bersama. Gedung ini merupakan gedung perkuliahan utama Fakultas Teknologi Maju dan Multidisiplin (FTMM) yang terletak di Kampus C Universitas Airlangga. GKB FTMM memiliki kapasitas untuk menampung 5000 mahasiswa dan dilengkapi dengan fasilitas keamanan dan keselamatan yang baik. Gedung ini juga dilengkapi dengan lift touchless modern, internet 1Gbps, serta taman diskusi yang nyaman di rooftop gedung.",6.494524717330933,5.182022667367652,"[28, 8, 4, 2]","[71, 70, 69, 68]","[39.44, 11.43, 5.8, 2.94]",0.5534691327517693,71,113,0.2684563758389262,0.10884353741496598,0.16107382550335567,0.16107382550335567
10,Di GKB FTMM ada apa saja?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","Di Gedung Kuliah Bersama (GKB) FTMM, terdapat beberapa fasilitas penunjang yang dapat digunakan oleh mahasiswa dan sivitas akademika FTMM. Beberapa fasilitas yang ada di GKB FTMM antara lain:

1. Gedung Perkuliahan: Gedung ini merupakan bangunan baru yang sangat representatif dan berkapasitas 5000 mahasiswa. Gedung ini dilengkapi dengan fasilitas keamanan dan keselamatan yang mumpuni, seperti lift touchless modern, internet 1Gbps, dan taman diskusi yang nyaman di rooftop gedung.

2. Ruang Kelas Teater: Ruang kelas model teater yang nyaman dengan kursi dan meja yang ergonomis. Ruang ini memudahkan dosen dalam menyampaikan materi perkuliahan dan memberikan kenyamanan pada mahasiswa.

3. Ruang Kelas Reguler: Ruangan kelas reguler yang nyaman dengan kursi perkuliahan lipat yang mudah dimobilisasi. Ruangan ini dilengkapi dengan kaca jendela yang luas untuk menyuplai cahaya natural di kelas dan mengurangi konsumsi energi listrik.

4. Auditorium Candradimuka: Auditorium berkapasitas 332 orang yang dilengkapi dengan kursi ergonomis, lcd proyektor modern, sound system yang bagus, serta telah memenuhi standar K3. Auditorium ini juga dilengkapi dengan toilet dan mushola.

5. Studio Multimedia: Studio Multimedia FTMM dilengkapi dengan berbagai peralatan canggih, seperti kamera 4K, audio mixer, podcast setup, greenscreen, lighting, internet 1Gbps, PC Build Up i7 generasi terbaru, dan sistem smart studio dari Bardi. Studio ini sering digunakan oleh mahasiswa dalam aktivitas live streaming, foto, podcast, dan konferensi.

6. Laboratorium Komputer: Terdapat dua laboratorium komputer dengan spesifikasi high grade dan tiga middle grade. Kelima laboratorium komputer ini digunakan dalam proses praktikum mahasiswa, baik mahasiswa Teknologi Sains Data maupun Teknik Industri.

7. Laboratorium Nanoteknologi: Laboratorium Nanoteknologi dilengkapi dengan sarana prasarana pendukung mutakhir.

8. Laboratorium Teknik Elektro: Laboratorium Teknik Elektro dilengkapi dengan peralatan canggih, seperti Sistem Kendali Cuaca dan Panel Tenaga Surya.

9. Laboratorium Teknik Robotika dan Kecerdasan Buatan: Laboratorium Teknik Robotika dan Kecerdasan Buatan dilengkapi dengan peralatan pendukung lengkap untuk kegiatan praktikum dalam menghasilkan berbagai macam robot canggih.

Selain itu, di rooftop GKB FTMM juga terdapat Taman Diskusi yang nyaman untuk berdiskusi dan bersantai. Semua fasilitas ini dapat digunakan oleh mahasiswa FTMM untuk mendukung kegiatan perkuliahan dan penelitian.",32.458812952041626,2.298661670588028,"[53, 10, 4, 3]","[390, 389, 388, 387]","[13.59, 2.57, 1.03, 0.78]",1.0,390,113,0.16346153846153846,0.04347826086956522,0.10576923076923077,0.13461538461538464
