index,question,answer,response_gemini,running_time_gemini,score,counts,totals,precisions,bp,sys_len,ref_len,rouge1,rouge2,rougeL,rougeLsum
0,FTMM adalah,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.","FTMM adalah Fakultas Teknologi Maju dan Multidisiplin, Universitas Airlangga. FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering).",3.7112674713134766,11.37646781649191,"[15, 6, 4, 3]","[41, 40, 39, 38]","[36.59, 15.0, 10.26, 7.89]",0.7835640758096347,41,51,0.25,0.1142857142857143,0.22222222222222224,0.22222222222222224
1,Halo FTMM itu apa?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.","Hai, salam kenal! Aku FTMMQA, chatbot Fakultas Teknologi Maju dan Multidisiplin (FTMM), Universitas Airlangga. FTMM adalah fakultas baru di Universitas Airlangga yang berdiri pada November 2019. FTMM hadir untuk melengkapi 3 pilar utama Universitas Airlangga (sosial, sains, dan kesehatan) dengan pilar baru di bidang teknik (engineering). Di FTMM, kami memiliki 1 departemen dan 5 program studi S1, termasuk Teknik Robotika dan Kecerdasan Buatan serta Rekayasa Nanoteknologi yang merupakan satu-satunya di Indonesia. Keren, kan?",5.0567333698272705,19.198644535276056,"[34, 20, 14, 10]","[93, 92, 91, 90]","[36.56, 21.74, 15.38, 11.11]",1.0,93,51,0.456140350877193,0.26785714285714285,0.38596491228070173,0.38596491228070173
2,Kapan FTMM didirikan?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.",FTMM didirikan pada bulan November 2019.,2.0449161529541016,0.0,"[6, 2, 0, 0]","[7, 6, 5, 4]","[85.71, 33.33, 0.0, 0.0]",0.0018627259759257083,7,51,0.21739130434782608,0.09090909090909091,0.21739130434782608,0.21739130434782608
3,Ada berapa program studi di FTMM?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.","FTMM memiliki 5 program studi S1, yaitu:
1. Teknik Robotika dan Kecerdasan Buatan
2. Teknologi Sains Data
3. Rekayasa Nanoteknologi
4. Teknik Industri
5. Teknik Elektro",3.57833194732666,17.416320182983448,"[22, 13, 7, 4]","[33, 32, 31, 30]","[66.67, 40.62, 22.58, 13.33]",0.5795782787848095,33,51,0.5757575757575758,0.37500000000000006,0.5757575757575758,0.5757575757575758
4,Apa saja program studi yang ada di FTMM?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.","Di FTMM, kami memiliki lima program studi yang berada di bawah naungan Departemen Teknik, yaitu:

1. Teknik Robotika dan Kecerdasan Buatan
2. Teknologi Sains Data
3. Rekayasa Nanoteknologi
4. Teknik Industri
5. Teknik Elektro

Masing-masing program studi memiliki keunggulan dan kekhasan tersendiri, serta siap mencetak lulusan yang kompeten dan siap berkontribusi pada kemajuan teknologi.",3.051414728164673,10.909451748857432,"[27, 10, 4, 2]","[64, 63, 62, 61]","[42.19, 15.87, 6.45, 3.28]",1.0,64,51,0.4842105263157894,0.21505376344086022,0.3578947368421052,0.46315789473684216
5,Sejak tahun berapa FTMM didirikan?,"Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.",FTMM didirikan pada bulan November 2019.,2.967982769012451,0.0,"[6, 2, 0, 0]","[7, 6, 5, 4]","[85.71, 33.33, 0.0, 0.0]",0.0018627259759257083,7,51,0.21739130434782608,0.09090909090909091,0.21739130434782608,0.21739130434782608
6,Halo FTMM ada dimana?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","Hai, salam kenal! Aku FTMMQA, chatbot Fakultas Teknologi Maju dan Multidisiplin (FTMM), Universitas Airlangga. Aku siap menjawab pertanyaanmu seputar FTMM.

Untuk menjawab pertanyaanmu, FTMM berlokasi di Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Kota SBY, Jawa Timur.

Semoga membantumu! Jangan ragu untuk bertanya lagi ya!",3.1712889671325684,16.825693868944573,"[37, 23, 18, 15]","[67, 66, 65, 64]","[55.22, 34.85, 27.69, 23.44]",0.5033008561244556,67,113,0.2878787878787879,0.2,0.25757575757575757,0.2878787878787879
7,FTMM di kampus mana?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","FTMM berada di kampus Universitas Airlangga, Mulyorejo, Surabaya. Tepatnya di Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Kota SBY, Jawa Timur.",2.439384937286377,5.680915155770424,"[26, 18, 16, 13]","[35, 34, 33, 32]","[74.29, 52.94, 48.48, 40.62]",0.10768215195400163,35,113,0.2592592592592593,0.16981132075471697,0.22222222222222218,0.22222222222222218
8,Lokasi FTMM ada di mana?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","FTMM berlokasi di Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Kota SBY, Jawa Timur.",2.944213390350342,2.125527459815286,"[23, 18, 15, 13]","[25, 24, 23, 22]","[92.0, 75.0, 65.22, 59.09]",0.029599435167892013,25,113,0.25742574257425743,0.18181818181818185,0.2376237623762376,0.2376237623762376
9,Apa itu GKB di FTMM?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","GKB di FTMM adalah Gedung Kuliah Bersama, sebuah gedung perkuliahan yang sangat representatif dan merupakan bangunan baru di lingkungan UNAIR. GKB memiliki kapasitas 5000 mahasiswa dan juga menjadi tempat pembelajaran dasar bersama (PDB). Gedung ini dilengkapi dengan fasilitas keamanan dan keselamatan yang mumpuni, serta memiliki 12 lantai yang dilengkapi lift touchless modern, internet 1Gbps, dan taman diskusi yang nyaman di rooftop gedung.",4.257709264755249,2.9951757160151637,"[25, 4, 2, 1]","[71, 70, 69, 68]","[35.21, 5.71, 2.9, 1.47]",0.5534691327517693,71,113,0.22972972972972971,0.0410958904109589,0.16216216216216217,0.16216216216216217
